"acc","tau_i","idx"
0.942726895765682,711,24
0.757232461005205,711,25
0.636777826247114,711,26
0.645384381589762,711,27
0.669013452779539,711,28
0.55025266923478,711,29
0.340765315136385,711,30
0.300782313309809,711,31
0.57315442945161,711,32
0.754053048531733,711,33
1.00023447251132,711,34
1.48390734212079,711,35
2.69616950505713,711,36
4.17251063509729,711,37
4.18678623767682,711,38
2.62007728893634,711,39
1.86255845545851,711,40
2.15188150231373,711,41
2.51334418653713,711,42
2.68221196030441,711,43
2.7465873370421,711,44
2.66068374670873,711,45
2.50319076380527,711,46
2.32115359250524,711,47
2.09972903013698,711,48
1.83311319890508,711,49
1.51436785491505,711,50
1.18215058262473,711,51
0.902519251872225,711,52
0.708976727403657,711,53
0.58608531802119,711,54
0.53883670995952,711,55
0.560329367425981,711,56
0.710410444743037,711,57
0.880820640085142,711,58
0.946492472236309,711,59
0.890376324932329,711,60
0.739522819120546,711,61
0.516069762725932,711,62
0.336668976889763,711,63
0.284460893621601,711,64
0.413757175164371,711,65
0.858616328752255,711,66
1.535512943612,711,67
2.50992151271708,711,68
3.68627372830613,711,69
2.80228281941706,711,70
1.51905431107647,711,71
1.42089760362948,711,72
1.80722798783109,711,73
2.43106581564548,711,74
2.41377256592248,711,75
2.41377256592248,785,1
2.03838612632641,785,2
1.73048663675857,785,3
1.53072825805236,785,4
1.53538040888895,785,5
1.70193096217209,785,6
1.85558427456152,785,7
1.89034970309729,785,8
1.83748034003088,785,9
1.79142094439023,785,10
1.73082465894151,785,11
1.63609565735014,785,12
1.52580503341679,785,13
1.39394332739893,785,14
1.24513493244708,785,15
1.15165706701257,785,16
1.14720791489599,785,17
1.11887443442059,785,18
1.01437369839719,785,19
0.878777560023013,785,20
1.00136806420017,785,21
1.16330047709094,785,22
1.11435631644461,785,23
0.983456150522228,785,24
0.810427047919799,785,25
0.688448255136143,785,26
0.681628931310871,785,27
0.71052797270762,785,28
0.652574133719687,785,29
0.459575891447756,785,30
0.266499530956435,785,31
0.272128646048151,785,32
0.51482618426028,785,33
1.01435989668362,785,34
1.4878864203964,785,35
2.13977311881424,785,36
3.382382148723,785,37
4.27508046707895,785,38
3.40248761937498,785,39
2.09273815848997,785,40
1.98012474354521,785,41
2.47724262033415,785,42
2.59240621816875,785,43
2.45841697032867,785,44
2.40591874343254,785,45
2.45355374915652,785,46
2.43827521006141,785,47
2.31200973181343,785,48
2.07663694467762,785,49
1.75531735022474,785,50
1.37964125771883,785,51
1.02303714497568,785,52
0.70420877586125,785,53
0.440511066830335,785,54
0.334019460510911,785,55
0.405137013860743,785,56
0.466382889909139,785,57
0.597807661376132,785,58
0.767422308771383,785,59
0.83886232481856,785,60
0.775995489677614,785,61
0.590740213630323,785,62
0.365908458497477,785,63
0.20030227157973,785,64
0.115212846505934,785,65
0.212551170309646,785,66
0.779325990840803,785,67
1.65906268718213,785,68
2.74302424342185,785,69
4.03589903243379,785,70
2.95186212415147,785,71
1.07355903424078,785,72
0.925437193979148,785,73
1.10592269169233,785,74
1.38159979733641,785,75
2.22225538586365,785,76
2.22225538586365,860,1
2.35061800384495,860,2
2.0288504134115,860,3
1.85689929721566,860,4
1.91659724511959,860,5
2.07595905547292,860,6
2.11145660623182,860,7
