"tau_i","T_i","sim_i","template_i"
11443,78,0.974852092593231,1
11520,78,0.978109313946301,1
11597,78,0.975655345780693,1
11674,76,0.968320483567272,1
11749,78,0.979330969509816,1
11826,77,0.974972480324871,1
11902,77,0.974786578307232,1
11978,77,0.972745730948287,1
12054,77,0.971576916766875,1
12130,77,0.976501415191944,1
12206,76,0.968827829771058,1
12281,77,0.970478225975489,1
12357,78,0.973493543832843,1
12434,77,0.972383783888065,1
12510,76,0.970873016954022,1
12585,77,0.967275139754771,1
12661,77,0.967814600310405,1
12737,77,0.966030980730084,1
12813,76,0.973611066358214,1
12888,77,0.967738145435847,1
12964,80,0.97311587993603,1
13043,76,0.973194460414649,1
13118,77,0.971046480602756,1
13194,77,0.96806856756876,1
13270,75,0.967865621910748,1
13344,76,0.963672400435064,1
13419,76,0.969397659572575,1
13494,77,0.967352700764787,1
13570,77,0.969374930368556,1
13646,78,0.9796677603472,1
13723,78,0.974905002424535,1
13800,79,0.979519822962457,1
13878,78,0.971795301635494,1
13955,77,0.978063013380832,1
14031,80,0.978404311359656,1
14110,76,0.970926122038428,1
14185,77,0.97104251386678,1
14261,78,0.977857411229526,1
14338,79,0.976888049731011,1
14416,80,0.974274602881708,1
14495,80,0.977965904315222,1
14574,79,0.980079963017652,1
14652,80,0.979807975294854,1
14731,78,0.971984981550017,1
14808,79,0.976795052047311,1
14886,77,0.974060073998621,1
14962,77,0.978122922349117,1
15038,76,0.974824350616499,1
15113,77,0.978670973914846,1
15189,77,0.974795319244252,1
15265,76,0.975008522173252,1
15340,78,0.976924816934354,1
15417,76,0.975370118657813,1
15492,77,0.98142857483197,1
15568,77,0.976926839721875,1
15644,77,0.974656303352365,1
15720,76,0.978537589071348,1
15795,77,0.979724004305608,1
15871,77,0.976705587840165,1
15947,77,0.980356622895717,1
16023,75,0.977036086331602,1
16097,77,0.978041027849216,1
16173,77,0.976043876751364,1
16249,77,0.978766232091123,1
16325,78,0.98088298801462,1
16402,76,0.976579974180754,1
16477,78,0.97912398334933,1
16554,77,0.97717130426711,1
16630,77,0.980190624061592,1
16706,77,0.976250490359854,1
16782,77,0.978679578156273,1
16858,77,0.979367026876078,1
16934,77,0.979085434612528,1
17010,77,0.975298137602637,1
17086,77,0.975320353914808,1
17162,75,0.979818721905196,1
17236,76,0.974083876605686,1
17311,76,0.976164623603941,1
17386,76,0.980120800882114,1
17461,76,0.970460398312863,1
17536,77,0.977002376778301,1
17612,77,0.976609749279083,1
17688,76,0.976698063987592,1
17763,76,0.980230272613098,1
17838,77,0.978327549518024,1
17914,76,0.974764387533833,1
17989,76,0.973786568214735,1
18064,75,0.960290322143698,1
18138,77,0.976780712549029,1
18214,76,0.975871871535903,1
18289,75,0.978440925272371,1
18363,77,0.979442883429056,1
18439,76,0.976868353881164,1
18514,76,0.980956426673541,1
18589,77,0.978162126036349,1
18665,76,0.979347977744926,1
18740,76,0.978926782107324,1
18815,76,0.976809589222074,1
18890,78,0.975662448554732,1
18967,77,0.974999920520616,1
19043,76,0.979840211135522,1
19118,77,0.976268363933028,1
19194,76,0.980955634680785,1
19269,76,0.979471997125518,1
19344,75,0.971259956797987,1
19418,76,0.976188362695353,1
19493,76,0.97778127357114,1
19568,75,0.969490465674662,1
19642,75,0.973673030508825,1
19716,77,0.977585957341877,1
19792,76,0.970220342361099,1
19867,77,0.980199625566373,1
19943,77,0.976692913564184,1
20019,76,0.979847493989468,1
20094,76,0.97623177788874,1
20169,77,0.974116404515831,1
