"acc","tau_i","idx"
1.68189535940855,451,24
1.86342748718591,451,25
1.97875465887007,451,26
2.13055344922393,451,27
2.41726312179705,451,28
2.19728036445056,451,29
2.50798843697494,451,30
2.62461463838027,451,31
3.31308858921702,451,32
3.75360013853367,451,33
3.32541741740793,451,34
2.33966429215817,451,35
2.00249769038568,451,36
1.72724607395704,451,37
1.20238180292285,451,38
1.323998867069,451,39
1.87579556455388,451,40
2.45803071583738,451,41
2.56877441594236,451,42
2.67363086457349,451,43
2.84326309018353,451,44
2.9836449185518,451,45
2.98477168306053,451,46
2.83330796067071,451,47
2.62903993883699,451,48
2.47168080463477,451,49
2.31486198292684,451,50
2.17368511979081,451,51
2.21279416123597,451,52
2.24516614084571,451,53
2.1139758749806,451,54
1.75991278192983,451,55
1.40174391384447,451,56
1.25335828875865,451,57
1.19571568526971,451,58
1.14728985003791,451,59
1.06660255015634,451,60
1.13995877118429,451,61
1.39023343363624,451,62
1.69150051729226,451,63
1.97599873481741,451,64
2.25797564202982,451,65
2.50423281665264,451,66
2.61168240795086,451,67
2.59142045990225,451,68
2.59616178232405,451,69
2.92347618427105,451,70
3.43078110639545,451,71
3.87396760440766,451,72
4.32533096999524,451,73
4.98342954199214,451,74
5.80675055431177,451,75
6.56388459679175,451,76
7.292245264663,451,77
7.87270175987888,451,78
7.87270175987888,528,1
7.38208249750706,528,2
6.58162905366141,528,3
5.48194746417731,528,4
5.97545529646068,528,5
2.89555849535111,528,6
2.21526025559075,528,7
2.31956375208788,528,8
1.74848305682383,528,9
1.50144796779642,528,10
1.48616149862658,528,11
1.13647085312383,528,12
1.07162353464265,528,13
0.9176938487317,528,14
0.925585760478196,528,15
1.09730989241873,528,16
1.20833894251572,528,17
1.19935899546383,528,18
1.18230030026216,528,19
1.28673423829476,528,20
1.58612420699011,528,21
1.48966472737996,528,22
1.62318945289821,528,23
1.66366523074806,528,24
1.791607657943,528,25
1.94701669227565,528,26
2.31636978913126,528,27
2.27617354347159,528,28
2.33091098071119,528,29
2.62504876145187,528,30
3.19302207947267,528,31
3.70177052233117,528,32
3.64085772861286,528,33
3.02833898366745,528,34
2.61689911918668,528,35
2.67280302304528,528,36
1.95718701201495,528,37
1.17393611410502,528,38
1.61853081527662,528,39
2.40794019859298,528,40
2.88368808992928,528,41
3.03696295663941,528,42
3.03805036166289,528,43
3.07435993338451,528,44
3.08279142985704,528,45
3.03807718795952,528,46
3.0024939633578,528,47
3.03893106206771,528,48
2.96668670405218,528,49
2.77852298892775,528,50
2.54536146745408,528,51
2.18865895013362,528,52
1.81267040578258,528,53
1.55532247460133,528,54
1.42825207859117,528,55
1.34332014054729,528,56
1.2666566227672,528,57
1.29034607760864,528,58
1.49925381440235,528,59
1.79301784709467,528,60
2.05280783318848,528,61
2.33334909518486,528,62
2.67574531672953,528,63
3.03182667710409,528,64
3.25288349007461,528,65
3.25669786747251,528,66
3.35460891908431,528,67
3.78348476936276,528,68
4.34310591627697,528,69
4.87423286271799,528,70
5.59405756137707,528,71
6.48459875397083,528,72
7.32317260482095,528,73
8.13358100715792,528,74
8.58031829246445,528,75
8.58031829246445,602,1
8.44482539783979,602,2
7.68422748231727,602,3
6.29433094141069,602,4
2.97661032048201,602,5
2.5285808272626,602,6
3.7084446874667,602,7
4.19928124802329,602,8
2.69366683166274,602,9
2.08516881810562,602,10
1.13156572942096,602,11
1.45089145010921,602,12
1.01296841016885,602,13
0.983520716609467,602,14
0.957107099545291,602,15
0.949531463407085,602,16
1.07634381124249,602,17
1.08471194332873,602,18
1.18673206748617,602,19
1.08573661631171,602,20
1.49476854395589,602,21
1.70417399346428,602,22
1.80989198572733,602,23
1.8516249620266,602,24
2.02133866534037,602,25
2.18360321487215,602,26
2.54273179867638,602,27
2.41200932834017,602,28
2.64307945397031,602,29
2.98865504867992,602,30
3.69018400625226,602,31
3.63128448348515,602,32
3.50308292793648,602,33
2.72401578556366,602,34
2.77600684437197,602,35
2.60933823027985,602,36
1.62687860641168,602,37
1.62763202229497,602,38
2.21613560054434,602,39
2.87439593654041,602,40
3.19698060676007,602,41
3.2192887413216,602,42
3.24517950196904,602,43
3.27548790258795,602,44
3.19423950260465,602,45
3.05893788756817,602,46
3.02221342727478,602,47
3.05968511451751,602,48
2.98093324313041,602,49
2.79729726700614,602,50
2.51807188142039,602,51
2.11506902960636,602,52
1.72821786820991,602,53
1.47392706739513,602,54
1.38664270812636,602,55
1.31263818320206,602,56
1.2548454088054,602,57
1.38801801141051,602,58
1.62182890589606,602,59
1.85902205473738,602,60
2.1178500891234,602,61
2.40233844409983,602,62
2.81050902862809,602,63
3.2438256734911,602,64
3.40399030550911,602,65
3.39920946692021,602,66
3.52249513839267,602,67
3.86995219608718,602,68
4.36022637027024,602,69
4.96057184203596,602,70
5.84801923731446,602,71
6.82803815162159,602,72
7.65830287988142,602,73
8.33224981622611,602,74
8.54422898803631,602,75
8.54422898803631,676,1
8.0617940931284,676,2
7.11678220827362,676,3
6.05250567946863,676,4
5.00751095855017,676,5
