"tau_i","T_i","sim_i","template_i"
6562,78,0.804659530327479,1
6673,80,0.8088783512657,1
6752,79,0.828685910500277,1
6830,79,0.810816576849096,1
6908,78,0.815900971888425,1
6985,79,0.808526272940314,1
7063,80,0.803073994228479,2
7142,78,0.818029425389265,1
7219,80,0.804529373519116,1
7298,79,0.823758760553541,1
7418,80,0.813130975372257,1
7533,79,0.835805691519188,1
7611,79,0.812908640025824,1
7689,79,0.801206436468105,1
7767,80,0.806611035883973,2
7890,79,0.816620125169537,1
7968,76,0.842935268641157,1
8043,76,0.820804350499851,1
8118,73,0.738794639238879,1
8190,74,0.809894472452405,1
8263,75,0.812307162023997,1
8369,76,0.820420445668809,1
8486,77,0.777858478922171,1
8595,77,0.805295349944441,1
8671,77,0.793355609070605,1
8747,79,0.801082250282717,1
8825,77,0.812368435233212,1
8901,77,0.806558960344872,1
8977,79,0.803426706775875,1
9055,76,0.796300700438525,1
9130,78,0.842063999911713,1
9207,76,0.838718674954648,1
9282,78,0.791930619187153,1
9359,79,0.820697585147373,2
9437,76,0.867620861406475,1
9512,74,0.863435470185414,1
9628,76,0.798570148956671,1
9703,74,0.812227234112373,1
9776,73,0.75107876655909,1
9848,75,0.783858566495972,1
9922,75,0.818975744767713,1
10028,75,0.823111911956279,1
10144,76,0.808734832207665,1
10253,76,0.799401373795967,1
10328,78,0.766177080145907,1
10405,76,0.785356777336517,1
10480,76,0.783595251226869,1
10598,78,0.789018581094696,1
10709,78,0.826407923195238,1
10786,77,0.799214111363989,1
10906,77,0.827249732253108,1
10982,77,0.73426542195292,1
11058,78,0.784217695828279,2
11135,80,0.789820684711368,1
11248,77,0.830777216847877,1
11324,77,0.840224957630567,1
11400,78,0.794417913598696,1
11477,79,0.801718923634697,1
11555,78,0.816268946615376,1
11632,78,0.780689587954653,1
11751,77,0.800108182379806,1
11827,77,0.801273182428664,1
11937,77,0.804961469171299,1
12056,77,0.788610205970811,1
12165,76,0.822589281367312,1
12240,77,0.797911414789179,1
12359,77,0.790217529052097,1
12469,78,0.784621343875774,1
12546,75,0.803757192584162,1
12620,77,0.790880550827777,1
12738,77,0.796576803287372,2
12814,76,0.691356602148722,1
12889,78,0.802395450757746,1
12966,78,0.817164800315597,1
13043,78,0.757529447651961,1
